date,province,region,variable,value
1/1/2021,Pattani ,south,ratio_tourist_stay,19.4
1/1/2021,Yala ,south,ratio_tourist_stay,15.14
1/1/2021,Nakhon Si Thammarat ,south,ratio_tourist_stay,25.73
1/1/2021,Narathiwat ,south,ratio_tourist_stay,10.57
1/1/2021,Krabi ,south,ratio_tourist_stay,4.21
1/1/2021,Songkhla ,south,ratio_tourist_stay,11.36
1/1/2021,Phang Nga ,south,ratio_tourist_stay,8.45
1/1/2021,Surat Thani ,south,ratio_tourist_stay,5.57
1/1/2021,Satun ,south,ratio_tourist_stay,17.49
1/1/2021,Kamphaeng Phet ,north,ratio_tourist_stay,12.88
1/1/2021,Chiang Rai ,north,ratio_tourist_stay,22.97
1/1/2021,Chiang Mai ,north,ratio_tourist_stay,20.75
1/1/2021,Phichit ,north,ratio_tourist_stay,23.34
1/1/2021,Nakhon Sawan ,north,ratio_tourist_stay,23.62
1/1/2021,Tak ,north,ratio_tourist_stay,13.18
1/1/2021,Phitsanulok ,north,ratio_tourist_stay,28.52
1/1/2021,Phayao ,north,ratio_tourist_stay,19.43
1/1/2021,Phetchabun ,north,ratio_tourist_stay,16.81
1/1/2021,Phrae ,north,ratio_tourist_stay,11
1/1/2021,Lampang ,north,ratio_tourist_stay,23.98
1/1/2021,Lamphun ,north,ratio_tourist_stay,20.96
1/1/2021,Mae Hong Son ,north,ratio_tourist_stay,13.48
1/1/2021,Uttaradit ,north,ratio_tourist_stay,16.39
1/1/2021,Uthai Thani ,north,ratio_tourist_stay,23.25
1/1/2021,Sukhothai ,north,ratio_tourist_stay,17.25
1/1/2021,Nan ,north,ratio_tourist_stay,10.52
1/1/2021,Kalasin ,east_northeast,ratio_tourist_stay,20.19
1/1/2021,Khon Kaen ,east_northeast,ratio_tourist_stay,22.88
1/1/2021,Chaiyaphum ,east_northeast,ratio_tourist_stay,19.51
1/1/2021,Nakhon Phanom ,east_northeast,ratio_tourist_stay,26.15
1/1/2021,Nakhon Ratchasima ,east_northeast,ratio_tourist_stay,31.58
1/1/2021,Buriram ,east_northeast,ratio_tourist_stay,30.33
1/1/2021,Maha Sarakham ,east_northeast,ratio_tourist_stay,15.38
1/1/2021,Mukdahan ,east_northeast,ratio_tourist_stay,19.93
1/1/2021,Roi Et ,east_northeast,ratio_tourist_stay,30.32
1/1/2021,Loei ,east_northeast,ratio_tourist_stay,9.13
1/1/2021,Sisaket ,south,ratio_tourist_stay,30.18
1/1/2021,Surin ,east_northeast,ratio_tourist_stay,24.48
1/1/2021,Nong Khai ,east_northeast,ratio_tourist_stay,12.74
1/1/2021,Bueng Kan ,east_northeast,ratio_tourist_stay,16.93
1/1/2021,Udon Thani ,east_northeast,ratio_tourist_stay,18.31
1/1/2021,Ubon Ratchathani ,east_northeast,ratio_tourist_stay,30.53
1/1/2021,Sakon Nakhon ,east_northeast,ratio_tourist_stay,16.81
1/1/2021,Yasothon ,east_northeast,ratio_tourist_stay,28.22
1/1/2021,Amnat Charoen ,east_northeast,ratio_tourist_stay,26.61
1/1/2021,Nong Bua Lamphu ,east_northeast,ratio_tourist_stay,4.73
1/1/2022,Bangkok,central,ratio_tourist_stay,26.34
1/1/2022,Lopburi ,central,ratio_tourist_stay,38.59
1/1/2022,Phra Nakhon Si Ayutthaya ,central,ratio_tourist_stay,45.43
1/1/2022,Saraburi ,central,ratio_tourist_stay,37.38
1/1/2022,Chainat ,central,ratio_tourist_stay,35.66
1/1/2022,Nakhon Pathom ,central,ratio_tourist_stay,38.83
1/1/2022,Sing Buri ,central,ratio_tourist_stay,33.27
